en_term_no_stopwords;en_definition_no_stopwords;ru_term_no_stopwords;ru_definition_no_stopwords
accommodation;process eye changes optical power maintain clear focus object distance varies;аккомодация;процесс изменения оптической силы глаза сохранения четкого фокуса объекте изменении расстояния
acetic acid;colorless organic acid formula ch3cooh main component vinegar solvent chemical synthesis;уксусная кислота;бесцветная органическая кислота формулой ch3cooh основной компонент уксуса используемая растворитель химическом синтезе
acetylene;colorless highly flammable gas chemical formula c2h2 fuel chemical building block simplest alkyne burns hot flame making useful welding cutting metals;ацетилен;бесцветный легковоспламеняющийся газ химической формулой c2h2 используемый топливо химический строительный блок простейший алкин горит горячим пламенем делает полезным сварке резке металлов
acidbase equilibria;dynamic balance acids bases solution governed proton transfer reactions concentrations reactants products remain constant time described equilibrium constants like ka kb;кислотноосновные равновесия;динамический баланс кислотами основаниями растворе определяемый реакциями переноса протонов концентрации реагентов продуктов остаются постоянными описываемый константами равновесия ka kb
acquisitive convention;principle agreement physical chemistry system acquires properties components surroundings specific conditions;приобретательная конвенция;принцип соглашение физической химии согласно система приобретает свойства компоненты окружающей среды определённых условиях
actinoid actinide;series 15 metallic elements actinium lawrencium periodic table characterized filling 5f electron shell;актиноид;серия 15 металлических элементов актиния лоуренсия периодической таблице характеризующаяся заполнением 5fэлектронной оболочки
activated complex;transient highenergy intermediate state formed chemical reaction representing highest potential energy point reaction pathway;активированный комплекс;временное высокоэнергетическое промежуточное состояние образующееся ходе химической реакции представляющее точку максимальной потенциальной энергией пути реакции
activated complex theory;theory explaining reaction rates considering intermediate transition state activated complex formed conversion reactants products;теория активированного комплекса;теория объясняющая скорости реакций промежуточное переходное состояние активированный комплекс образующееся превращении реагентов продукты
activation energy;minimum energy required chemical reaction occur represented ea arrhenius equation;энергия активации;минимальная энергия необходимая протекания химической реакции обозначаемая ea уравнении аррениуса
activation enthalpy;minimum enthalpy required chemical reaction occur representing energy barrier reactants products;энтальпия активации;минимальная энтальпия необходимая протекания химической реакции представляющая энергетический барьер реагентами продуктами
activation gibbs energy;gibbs free energy difference transition state reactants chemical reaction determining reaction rate;энергия гиббса активации;разность энергий гиббса переходным состоянием реагентами химической реакции определяющая скорость реакции
activationcontrolled limit;regime chemical kinetics reaction rate determined activation energy barrier diffusion transport processes;активационноконтролируемый предел;режим химической кинетике скорость реакции определяется энергетическим барьером активации диффузией транспортными процессами
active site;specific region enzyme substrate molecules bind undergo chemical reaction characterized unique threedimensional structure chemical properties;активный центр;специфический участок фермента молекулы субстрата связываются подвергаются химической реакции характеризующийся уникальной трёхмерной структурой химическими свойствами
active sites;specific regions surface catalyst reactant molecules adsorb undergo chemical reactions unique electronic geometric properties;активные центры;специфичные участки поверхности катализатора молекулы реагентов адсорбируются вступают химические реакции уникальным электронным геометрическим свойствам
activity;measure effective concentration species solution accounting deviations ideal behavior interactions particles;активность;мера эффективной концентрации частиц растворе учитывающая отклонения идеального поведения изза взаимодействий частицами
activity coefficient;factor accounts deviations ideal behavior solutions quantifying effective concentration activity solute differs actual concentration interactions species;коэффициент активности;фактор учитывающий отклонения идеального поведения растворах показывающий эффективная концентрация активность растворённого вещества отличается реальной концентрации изза взаимодействий частицами
activity coefficients;dimensionless factors account deviations ideal behavior solutions representing effective concentration solute quantify interactions molecules affect chemical potential nonideal systems;коэффициенты активности;безразмерные коэффициенты учитывающие отклонения идеального поведения растворах представляющие эффективную концентрацию растворённого вещества описывают влияние межмолекулярных взаимодействий химический потенциал неидеальных системах
addition;chemical reaction molecules combine form larger typically involving unsaturated compounds;присоединение;химическая реакция две молекулы соединяются образуя крупную молекулу участием ненасыщенных соединений
addition polymerization;polymerization process unsaturated monomers link loss atoms typically initiated free radicals ions catalysts forming long polymer chains byproducts;полимеризация механизму присоединения;процесс полимеризации ненасыщенные мономеры соединяются потери атомов инициируемый свободными радикалами ионами катализаторами образуя длинные полимерные цепи побочных продуктов
additional work;extra work system reversible work irreversible processes like friction dissipation;дополнительная работа;дополнительная работа совершаемая системой обратимой работы обусловленная необратимыми процессами трение диссипация
adiabatic approximation;simplification quantum mechanics motion atomic nuclei electrons treated separately assuming electrons adjust instantaneously nuclear positions bornoppenheimer approximation simplify molecular system calculations;адиабатическое приближение;упрощение квантовой механике движение ядер электронов рассматривается раздельно предполагая мгновенную адаптацию электронов положению ядер используемое приближении борнаоппенгеймера
adiabatic bomb calorimeter;device measuring heat combustion igniting sample oxygenfilled chamber surrounded water maintaining adiabatic conditions prevent heat loss;адиабатический бомбовый калориметр;устройство измеряющее теплоту сгорания путём воспламенения образца камере заполненной кислородом окруженной водой адиабатических условиях предотвращения потерь тепла
adiabatic boundary;boundary prevents heat transfer system surroundings maintaining thermal isolation;адиабатическая граница;граница предотвращающая теплообмен системой окружающей средой обеспечивая тепловую изоляцию
adiabatic change;process heat exchanged surroundings typically occurring rapidly thermally insulated system;адиабатическое изменение;процесс происходит обмена теплом окружающей средой происходящий быстро термоизолированной системе
adiabatic expansion;thermodynamic process gas expands heat transfer surroundings causing temperature changes work gas;адиабатическое расширение;термодинамический процесс газ расширяется теплообмена окружающей средой приводит изменению температуры изза работы совершаемой газом
adiabatic flame calorimeter;device measuring heat combustion burning sample oxygenrich environment nearly adiabatic conditions preventing heat loss;адиабатический калориметр пламенем;прибор измерения теплоты сгорания образец сжигается кислородной среде практически адиабатических условиях предотвращающих потерю тепла
adiabatic process;thermodynamic process heat transferred system resulting changes temperature pressure solely work system;адиабатический процесс;термодинамический процесс происходит теплообмена окружающей средой изменение температуры давления обусловлено работой совершаемой системой
adsorbate;substance accumulates surface solid liquid adsorbent forming thin film process adsorption involves intermolecular forces;адсорбат;вещество накапливается поверхности твёрдого тела жидкости адсорбента образуя тонкую плёнку процессе адсорбции связанной межмолекулярными силами
adsorption;adhesion atoms ions molecules gas liquid dissolved solid surface creating thin film;адсорбция;прилипание атомов ионов молекул газа жидкости растворённого твёрдого вещества поверхности образованием тонкого слоя
adsorption constant;measure extent substance adsorbed surface equilibrium defined ratio adsorbed concentration concentration surrounding phase given temperature;константа адсорбции;мера степени адсорбции вещества поверхности равновесии определяемая отношение адсорбированной концентрации концентрации окружающей фазе заданной температуре
adsorption isotherms;graphs showing relationship adsorbate surface adsorbent pressure concentration constant temperature study surface properties interactions;изотермы адсорбции;графики показывающие зависимость количества адсорбата поверхности адсорбента давления концентрации постоянной температуре используемые изучения поверхностных свойств взаимодействий
adsorptiondesorption equilibrium;state rates adsorption desorption molecules surface equal resulting dynamic balance molecules attaching detaching surface equilibrium determines surface concentration adsorbed species given conditions;равновесие адсорбциидесорбции;состояние скорости адсорбции десорбции молекул поверхности равны создавая динамический баланс присоединением отрывом молекул равновесие определяет поверхностную концентрацию адсорбированных веществ условиях
aedans;fluorescent dye molecular probe biochemistry biophysics studying protein interactions conformational changes;аеданс;флуоресцентный краситель используемый качестве молекулярного зонда биохимии биофизике изучения взаимодействий белков конформационных изменений
aerosol;suspension fine solid particles liquid droplets air gas;аэрозоль;взвесь мелких твёрдых частиц капель жидкости воздухе другом газе
aes;atomic emission spectroscopy technique analyzes light emitted excited atoms determine elemental composition;аэс;атомноэмиссионная спектроскопия метод анализа света излучаемого возбуждёнными атомами определения элементного состава
afm;highresolution imaging technique sharp probe scans surface map topography atomic level mechanical forces;атомносиловая микроскопия;высокочувствительный метод микроскопии применяемый исследования поверхностей атомарным разрешением помощью механического зонда
aggregation equilibrium;dynamic balance system rate particle aggregation equals rate disaggregation maintaining stable distribution particle sizes;равновесие агрегации;динамическое равновесие системе скорость агрегации частиц равна скорости дезагрегации поддерживает стабильное распределение размеров частиц
alanine;nonessential amino acid c3h7no2 involved protein synthesis glucose metabolism commonly found proteins;аланин;незаменимая аминокислота c3h7no2 участвующая синтезе белков метаболизме глюкозы встречающаяся белках
albert einstein;theoretical physicist developed theory relativity pillars modern physics alongside quantum mechanics best known massenergy equivalence formula e mc² dubbed worlds famous equation;альберт эйнштейн;теоретический физик разработавший теорию относительности основ современной физики известен формуле эквивалентности массы энергии e mc²
alkaline battery;type primary battery derives energy reaction zinc manganese dioxide alkaline electrolyte potassium hydroxide provides higher energy density longer shelf life compared zinccarbon batteries;щелочная батарейка;тип первичного источника тока энергия вырабатывается реакции цинка диоксидом марганца щелочном электролите гидроксид калия обладает большей энергоёмкостью сроком хранения сравнению солевыми батарейками
allosteric regulation;regulation enzyme protein binding effector molecule site active site resulting conformational change alters activity;аллостерическая регуляция;регуляция активности фермента белка путём связывания эффекторной молекулы активного центра вызывает конформационные изменения изменяет активность
allotrope;different structural forms element physical state differing atomic arrangement molecular structure;аллотропная модификация;различные структурные формы элемента физическом состоянии отличающиеся атомным расположением молекулярной структурой
allowed transition;quantum transition states permitted selection rules typically involving change dipole moment;разрешённый переход;квантовый переход состояниями разрешённый правилами отбора связанный изменением дипольного момента
alloys;metallic substance composed elements compound solid solution properties superior pure metals widely engineering industry;сплавы;металлический материал состоящий двух элементов образующих соединение твёрдый раствор улучшенными свойствами широко применяемый технике промышленности
amber;amber fossilized tree resin appreciated color beauty prehistoric times jewelry ornaments contains preserved prehistoric insects plant material;янтарь;ископаемая смола деревьев ценимая цвет красоту древних времен используется ювелирных изделиях содержит включения древних насекомых растений
ammonia;colorless gas pungent smell composed nitrogen hydrogen nh widely fertilizers cleaning products industrial applications key intermediate nitrogen cycle produced naturally decomposing organic matter;аммиак;бесцветный газ резким запахом состоящий азота водорода nh широко используемый удобрениях чистящих средствах промышленности является ключевым промежуточным продуктом круговороте азота образуется разложении органики
substance;physical quantity measures number elementary entities eg atoms molecules sample expressed moles;количество вещества;физическая величина измеряющая количество элементарных частиц атомов молекул образце выражаемая молях
ampere;si base unit electric current defined constant current produces force 2×10⁻⁷ newtons meter parallel conductors infinite length negligible crosssection placed meter apart vacuum;ампер;основная единица силы электрического тока си определяемая постоянный ток создаёт силу 2×10⁻⁷ ньютонов метр двумя параллельными проводниками бесконечной длины ничтожно малого сечения расположенными расстоянии метра вакууме
amphipathic;molecule having hydrophilic waterattracting hydrophobic waterrepelling regions found lipids surfactants;амфипатический;молекула имеющая гидрофильные притягивающие воду гидрофобные отталкивающие воду участки встречается липидах поверхностноактивных веществах
angstrom;unit length equal 1010 meters primarily express atomic molecular scales;ангстрем;единица длины равная 1010 метра используемая преимущественно описания атомных молекулярных масштабов
angular;relating measured angle angles physics describe rotational motion directional properties;угловой;относящийся измерению углов связанный используется физике описания вращательного движения направленных свойств
angular frequency;scalar measure rotation rate defined rate change phase sinusoidal waveform rate change angle circular motion related frequency equation ω 2πf f frequency;угловая частота;скалярная мера скорости вращения определяемая скорость изменения фазы синусоидальной волны угла круговом движении связана частотой уравнением ω 2πf f частота
angular momentum;vector quantity representing rotational inertia velocity body point axis conserved isolated systems;момент импульса;векторная величина характеризующая вращательное движение тела точки оси сохраняющаяся замкнутых системах
angular momentum components;projections angular momentum vector specific axes quantized quantum systems crucial describing rotational motion;компоненты момента импульса;проекции вектора момента импульса определённые оси квантуемые квантовых системах важные описания вращательного движения
angular momentum operators;quantum mechanical operators representing angular momentum system obeying specific commutation relations describing rotational states;операторы углового момента;квантовомеханические операторы представляющие угловой момент системы подчиняющиеся определённым коммутационным соотношениям используемые описания вращательных состояний
angular momentum quantization;phenomenon quantum mechanics angular momentum particle system restricted discrete values determined quantum state;квантование момента импульса;явление квантовой механике момент импульса частицы системы принимает дискретные значения определяемые квантовым состоянием
angular momentum quantum number;quantum number determines shape electrons orbital representing orbital angular momentum ranging 0 n1 given principal quantum number n;орбитальное квантовое число;квантовое число определяющее форму орбитали электрона представляющее орбитальный момент импульса принимающее значения 0 n1 главного квантового числа n
angular velocity;vector quantity representing rate rotation object axis measured radians second rads;угловая скорость;векторная величина характеризующая скорость вращения объекта оси измеряемая радианах секунду радс
angular wavefunction;mathematical function describing angular dependence quantum systems wavefunction solving schrödinger equation atoms;угловая волновая функция;математическая функция описывающая угловую зависимость волновой функции квантовой системы используемая решении уравнения шрёдингера атомов
anharmonicity;deviation systems behavior harmonic oscillator restoring force proportional displacement significant molecular vibrations affecting energy levels spectra;ангармоничность;отклонение поведения системы гармонического осциллятора восстанавливающая сила пропорциональна смещению важно молекулярных колебаниях влияя уровни энергии спектры
anharmonicity constant;parameter quantifying deviation molecular vibrations harmonic oscillator behavior accounting bond dissociation high energies;ангармоническая постоянная;параметр характеризующий отклонение молекулярных колебаний гармонического осциллятора учитывающий разрыв связи высоких энергиях
anode;electrode electrochemical cell oxidation occurs releasing electrons external circuit positive terminal galvanic cell negative terminal electrolytic cell;анод;электрод электрохимической ячейке происходит окисление высвобождающее электроны внешнюю цепь гальваническом элементе положительный полюс электролитическом отрицательный
anodic current density;electric current unit area anode surface indicating rate oxidation reactions occurring anode electrochemical processes;анодная плотность тока;электрический ток единицу площади поверхности анода показывающий скорость окислительных реакций происходящих аноде электрохимических процессах
antiaromaticity;property cyclic planar molecules 4n πelectrons exhibit destabilization conjugated system leading higher energy reactivity compared aromatic nonaromatic compounds;антиароматичность;свойство циклических плоских молекул 4n πэлектронами проявляющих дестабилизацию изза сопряжённой системы приводит повышенной энергии реакционной способности сравнению ароматическими неароматическими соединениями
antibonding;type molecular orbital weakens chemical bond atoms increasing systems energy compared separate atoms;разрыхляющий;тип молекулярной орбитали ослабляющий химическую связь атомами увеличивая энергию системы сравнению разделёнными атомами
antibonding orbital;molecular orbital formed destructive combination atomic orbitals increases energy system destabilizes molecule electrons orbital weaken bond atoms;разрыхляющая орбиталь;молекулярная орбиталь образованная деструктивной комбинацией атомных орбиталей увеличивающая энергию системы дестабилизирующая молекулу электроны орбитали ослабляют связь атомами
antibonding orbitals;molecular orbitals formed outofphase combination atomic orbitals resulting higher energy original atomic orbitals destabilizing molecule reducing electron density nuclei;разрыхляющие орбитали;молекулярные орбитали образованные противофазной комбинацией атомных орбиталей обладающие высокой энергией уменьшающие электронную плотность ядрами дестабилизирует молекулу
antiferromagnetism;magnetic ordering adjacent atomic spins align opposite directions resulting zero net magnetization néel temperature;антиферромагнетизм;магнитное упорядочение соседние атомные спины ориентированы противоположных направлениях приводит нулевой намагниченности температуры нееля
antifreeze automotive fluids;substance added vehicles cooling system lower freezing point raise boiling point coolant preventing engine damage extreme temperatures corrosion;антифриз автомобильных жидкостях;вещество добавляемое систему охлаждения автомобиля снижения температуры замерзания повышения температуры кипения охлаждающей жидкости предотвращая повреждение двигателя экстремальных температур коррозии
antifreeze cars;liquid additive vehicle cooling systems lower freezing point raise boiling point coolant preventing engine damage extreme temperatures corrosion;антифриз автомобилей;жидкая добавка систему охлаждения автомобиля снижающая температуру замерзания повышающая температуру кипения охлаждающей жидкости защищая двигатель повреждений экстремальных температурах коррозии
antinodes;points standing wave amplitude vibration maximum occurring midway nodes wave displacement zero key analyzing wave patterns physics engineering;пучности;точки стоячей волны максимальной амплитудой колебаний расположенные узлами смещение волны равно нулю важны анализа волновых процессов физике технике
antiparallel spins;spin states particles electrons spins aligned opposite directions leading zero net magnetic moment;антипараллельные спины;состояния спинов частиц электронов спины направлены противоположные стороны приводит нулевому суммарному магнитному моменту
antistokes lines;spectral lines raman spectroscopy scattered photons higher energy incident photons resulting molecular transitions higher vibrational states lower ones;антистоксовы линии;спектральные линии рамановской спектроскопии рассеянные фотоны имеют энергию выше падающие изза переходов молекул высоких колебательных уровней низкие
antistokes scattering;type raman scattering scattered photons higher energy incident photons typically interaction excited molecular states;антистоксово рассеяние;тип рамановского рассеяния рассеянные фотоны обладают большей энергией падающие изза взаимодействия возбуждёнными молекулярными состояниями
antisymmetric stretch;vibrational mode molecules bonds stretch opposite directions leading change molecular dipole moment;антисимметричное растяжение;вид колебательного движения молекулах связи растягиваются противоположных направлениях приводит изменению дипольного момента молекулы
antisymmetric wavefunction;quantum mechanical wavefunction changes sign exchange identical fermions satisfying pauli exclusion principle;антисимметричная волновая функция;квантовомеханическая волновая функция меняющая знак обмене местами двух идентичных фермионов удовлетворяет принципу паули
aperiodic crystal;crystal structure lacks translational symmetry meaning atomic arrangement repeat periodically space;апериодический кристалл;кристаллическая структура обладающая трансляционной симметрией атомное расположение повторяется периодически пространстве
