object;relation;subject
electron in magnetic field;DESCRIBES;an electron subjected to a magnetic field, experiencing the Lorentz force, which alters its motion and energy levels, often studied in quantum mechanics and condensed matter physics.
regions around an atom's nucleus where electrons;IS_A;most likely to be found, described by quantum mechanics as wave functions that define the electron's energy, angular momentum, and spatial distribution.
electron orbitals;DESCRIBES;regions around an atom's nucleus where electrons are most likely to be found, described by quantum mechanics as wave functions that define the electron's energy, angular momentum, and spatial distribution.
electron pair;DESCRIBES;two electrons occupying the same orbital with opposite spins, forming a covalent bond or lone pair in molecules.
electron paramagnetic;DESCRIBES;a property of materials containing unpaired electrons that exhibit magnetism when exposed to an external magnetic field, studied via electron paramagnetic resonance (EPR).
electron spin;DESCRIBES;intrinsic property of an electron giving it a magnetic moment and angular momentum, quantized as ±½ in units of ħ (reduced Planck constant).
electron spin resonance;DESCRIBES;a spectroscopic technique detecting unpaired electrons in a magnetic field by measuring absorption of microwave radiation, used to study paramagnetic materials.
electron transfer;DESCRIBES;the process by which electrons move from an electron donor to an electron acceptor, fundamental in redox reactions, charge transport, and energy conversion.
electron tunnelling;DESCRIBES;quantum phenomenon where an electron passes through a potential barrier it classically shouldn't overcome, due to wave-particle duality.
a unit of energy equal to the amount of kinetic energy gained by a single electron when it;AFFECTS;through an electric potential difference of one volt in a vacuum. it is commonly used in physics and chemistry to express small energy values, such as the energy of particles or photons.
electron volt;DESCRIBES;a unit of energy equal to the amount of kinetic energy gained by a single electron when it accelerates through an electric potential difference of one volt in a vacuum. It is commonly used in physics and chemistry to express small energy values, such as the energy of particles or photons.
a chemical property that describes the tendency of an atom to attract a shared pair of electrons towards itself in a covalent bond. it;IS_A;dimensionless quantity, often measured using the pauling scale, and is crucial for understanding bond polarity and reactivity.
electronegativity;DESCRIBES;a chemical property that describes the tendency of an atom to attract a shared pair of electrons towards itself in a covalent bond. It is a dimensionless quantity, often measured using the Pauling scale, and is crucial for understanding bond polarity and reactivity.
electronic;DESCRIBES;relating to or involving electrons or the flow of electric charge in devices, circuits, or systems.
electronic (molecular);DESCRIBES;relating to the behavior, structure, or properties of electrons in molecules, often studied in quantum chemistry and spectroscopy.
electronic energy transfer;DESCRIBES;the process by which energy is transferred from one molecule or atom to another through electronic excitation, often occurring in photochemistry and molecular spectroscopy.
electronic mean energy;DESCRIBES;the average energy of electrons in a system, often calculated in quantum chemistry to describe electronic states and their distributions.
electronic partition function;DESCRIBES;a statistical mechanics term representing the sum over all electronic energy states of a molecule, weighted by their Boltzmann factors, crucial for calculating thermodynamic properties.
electronic polarizability;DESCRIBES;a measure of how easily an electron cloud in an atom or molecule can be distorted by an external electric field, influencing the material's dielectric properties.
electronic spectra;DESCRIBES;spectra resulting from electronic transitions between energy levels in atoms or molecules, typically observed in UV-Vis spectroscopy.
a mathematical function describing the quantum state of an electron in a system, providing information about the electron's position, energy, and other properties. it;IS_A;solution to the schrödinger equation and is fundamental in quantum mechanics for predicting electron behavior in atoms and molecules.
electronic wave function;DESCRIBES;a mathematical function describing the quantum state of an electron in a system, providing information about the electron's position, energy, and other properties. It is a solution to the Schrödinger equation and is fundamental in quantum mechanics for predicting electron behavior in atoms and molecules.
electronvolt;DESCRIBES;a unit of energy equal to the work done on an electron moving through an electric potential difference of one volt, approximately 1.602×10⁻¹ joules.
electrostatic forces;DESCRIBES;forces between charged particles or objects, described by Coulomb's law, which states that the force is directly proportional to the product of the charges and inversely proportional to the square of the distance between them.
forces between charged particles or molecules, governed by coulomb's law, which states that like charges repel and opposite charges attract. these interactions;IS_A;fundamental in chemistry, influencing molecular structure, stability, and reactivity.
electrostatic interactions;DESCRIBES;forces between charged particles or molecules, governed by Coulomb's law, which states that like charges repel and opposite charges attract. These interactions are fundamental in chemistry, influencing molecular structure, stability, and reactivity.
electrostatic potential surface;DESCRIBES;a 3D representation of the electrostatic potential around a molecule, showing regions of positive and negative charge, used to predict reactivity and interactions.
electrostatics;DESCRIBES;the study of stationary electric charges and the forces they exert on each other, governed by Coulomb's law.
elementary reaction;DESCRIBES;a single-step chemical reaction where reactants directly form products without any intermediate steps, following the law of mass action.
elementary step;DESCRIBES;a single reaction step in a chemical mechanism that involves one or more reactants forming products without intermediates. It is the simplest process contributing to the overall reaction.
Eley–Rideal mechanism;DESCRIBES;A surface reaction mechanism where a gas-phase molecule reacts directly with an adsorbed species on a catalyst surface, without requiring the adsorption of both reactants.
the energy per unit charge that is converted reversibly from chemical, mechanical, or other;PRODUCES;of energy into electrical energy in a device such as a battery or generator.
emf;DESCRIBES;the energy per unit charge that is converted reversibly from chemical, mechanical, or other forms of energy into electrical energy in a device such as a battery or generator.
emission spectra;DESCRIBES;the range of wavelengths of electromagnetic radiation emitted by an atom or molecule when transitioning from a higher to a lower energy state, often used to identify elements or compounds in spectroscopy.
emission spectroscopy;DESCRIBES;a technique that analyzes the light emitted by atoms or molecules when they return to a lower energy state after excitation, used to identify elements and their concentrations.
emission spectrum;DESCRIBES;the spectrum of frequencies of electromagnetic radiation emitted by an atom or molecule due to transitions from higher to lower energy states, often used to identify substances.
Emmett P.;DESCRIBES;a scientist known for his contributions to surface chemistry and catalysis, particularly the BET theory for measuring surface area of materials.
emulsifying agent;DESCRIBES;a substance that stabilizes an emulsion by reducing interfacial tension between immiscible liquids, preventing their separation.
encounter pair;DESCRIBES;a transient pair of molecules formed during a collision in solution, which may react or separate without reaction.
endenthalpic process;DESCRIBES;a process occurring at constant enthalpy, where no heat is exchanged with the surroundings, often seen in adiabatic systems.
endergonic reaction;DESCRIBES;a chemical reaction requiring energy input to proceed, often resulting in products with higher free energy than reactants, commonly occurring in biological systems.
a process or reaction that absorbs energy from its surroundings, typically in the form of heat, resulting in a decrease in temperature of the surroundings. it is;CHARACTERIZED_BY;a positive change in enthalpy (δh > 0).
endothermic;DESCRIBES;a process or reaction that absorbs energy from its surroundings, typically in the form of heat, resulting in a decrease in temperature of the surroundings. It is characterized by a positive change in enthalpy (ΔH > 0).
endothermic process;DESCRIBES;a process that absorbs heat from its surroundings, resulting in a positive change in enthalpy (ΔH > 0).
endothermic reaction;DESCRIBES;a chemical reaction that absorbs heat from its surroundings, resulting in a decrease in temperature of the system. The energy required for the reaction is taken from the environment, making the surroundings cooler.
the capacity to do work, which can be transferred between objects or converted into different forms, such as kinetic, potential, thermal, or chemical energy. it;IS_A;fundamental concept in physics and chemistry, governed by the laws of thermodynamics.
energy;DESCRIBES;the capacity to do work, which can be transferred between objects or converted into different forms, such as kinetic, potential, thermal, or chemical energy. It is a fundamental concept in physics and chemistry, governed by the laws of thermodynamics.
the minimum energy required for a chemical reaction to occur, representing the difference in energy between the reactants and the transition state. it determines the reaction rate and;IS_A;key concept in chemical kinetics and thermodynamics.
energy barrier;DESCRIBES;the minimum energy required for a chemical reaction to occur, representing the difference in energy between the reactants and the transition state. It determines the reaction rate and is a key concept in chemical kinetics and thermodynamics.
energy density;DESCRIBES;the amount of energy stored in a given system or region of space per unit volume or mass, often used to compare different energy storage methods or fuels.
energy density of states;DESCRIBES;the number of electronic states per unit energy interval at a given energy level in a material, crucial for understanding electronic properties.
energy dependence;DESCRIBES;the variation of a physical property or process with changes in energy, often observed in chemical reactions or material behaviors.
energy eigenstate;DESCRIBES;a quantum state of a system with a definite energy, corresponding to an eigenvector of the Hamiltonian operator. In such a state, the system's energy is precisely known and does not change with time, as described by the time-independent Schrödinger equation.
energy eigenvalues;DESCRIBES;the specific quantized energy levels of a quantum mechanical system, obtained by solving the Schrödinger equation, which represent the possible stationary states of the system.
energy expectation value;DESCRIBES;the average value of the energy of a quantum system, calculated as the integral of the product of the wave function, its complex conjugate, and the Hamiltonian operator over all space, representing the system's most probable energy measurement outcome.
energy flux;DESCRIBES;the rate of energy transfer per unit area, typically measured in watts per square meter (W/m²).
energy level;DESCRIBES;a quantized state of a system (e.g., atom or molecule) with a specific energy, where electrons can reside, often depicted in diagrams.
energy level diagram;DESCRIBES;a graphical representation of the energy states of a system, such as atoms or molecules, showing the relative energies of different quantum states and transitions between them, often used in spectroscopy and quantum mechanics to visualize electronic, vibrational, or rotational energy levels.
energy levels;DESCRIBES;discrete values of energy that a quantum mechanical system, such as an atom or molecule, can possess, corresponding to stable states of the system. Transitions between these levels result in absorption or emission of electromagnetic radiation.
energy levels of a harmonic oscillator;DESCRIBES;the quantized energy states of a system undergoing harmonic motion, given by E_n = (n + 1/2)ħω, where n is the quantum number, ħ is the reduced Planck constant, and ω is the angular frequency of the oscillator.
energy levels of hydrogen;DESCRIBES;the quantized states of energy that an electron in a hydrogen atom can occupy, determined by the principal quantum number n and described by the Bohr model or quantum mechanics. These levels dictate the atom's emission and absorption spectra.
energy operator;DESCRIBES;a mathematical operator in quantum mechanics representing the total energy of a system, often corresponding to the Hamiltonian operator.
energy pooling;DESCRIBES;a process where two or more excited species transfer their energy to a single acceptor, resulting in its higher excitation state.
energy profile diagram;DESCRIBES;a graphical representation of the energy changes that occur during a chemical reaction, showing the relative energies of reactants, transition states, intermediates, and products as the reaction progresses along the reaction coordinate.
energy quantization;DESCRIBES;the concept that energy can only exist in discrete, specific amounts or levels, rather than in a continuous range, as demonstrated in quantum mechanics by phenomena like the photoelectric effect and atomic spectra.
energy spectral density;DESCRIBES;a measure of the distribution of energy of a signal or time series across different frequencies, typically expressed in units of energy per frequency interval.
engine efficiency;DESCRIBES;the ratio of useful work performed by an engine to the energy input, often expressed as a percentage, indicating how effectively the engine converts fuel into mechanical energy.
engineering convention;DESCRIBES;a standard or widely accepted practice in engineering disciplines, ensuring consistency in design, analysis, and communication.
ensemble;DESCRIBES;a collection of systems considered in statistical mechanics, representing possible states of a physical system under specified conditions, used to derive macroscopic properties from microscopic behaviors.
ensemble average;DESCRIBES;the mean value of a physical quantity over all possible configurations of a statistical ensemble, often used in statistical mechanics to predict macroscopic properties from microscopic interactions.
a measure of the degree of topological constraints or interchain interactions in polymer systems, quantifying how polymer chains;IS_A;intertwined or knotted, affecting mechanical and rheological properties.
entanglement density;DESCRIBES;a measure of the degree of topological constraints or interchain interactions in polymer systems, quantifying how polymer chains are intertwined or knotted, affecting mechanical and rheological properties.
interactions between molecules or particles that are primarily driven by changes in enthalpy, often involving the formation or breaking of chemical bonds, and;IS_A;a key factor in determining the thermodynamic stability of a system.
enthalpic interactions;DESCRIBES;interactions between molecules or particles that are primarily driven by changes in enthalpy, often involving the formation or breaking of chemical bonds, and are a key factor in determining the thermodynamic stability of a system.
the heat change associated with the adsorption of a gas or liquid onto a solid surface, reflecting the energy released or absorbed during the process. it;IS_A;key parameter in characterizing adsorption phenomena and surface interactions.
enthalpy of adsorption;DESCRIBES;the heat change associated with the adsorption of a gas or liquid onto a solid surface, reflecting the energy released or absorbed during the process. It is a key parameter in characterizing adsorption phenomena and surface interactions.
enthalpy of formation;DESCRIBES;the heat change when one mole of a compound is formed from its elements in their standard states at a given temperature and pressure.
the amount of energy required to change a substance from the solid phase to the liquid phase at constant pressure and temperature, typically measured in joules per mole (j/mol). it;IS_A;key thermodynamic property used to characterize phase transitions.
enthalpy of fusion;DESCRIBES;the amount of energy required to change a substance from the solid phase to the liquid phase at constant pressure and temperature, typically measured in joules per mole (J/mol). It is a key thermodynamic property used to characterize phase transitions.
the heat change when two or more substances;IS_A;mixed at constant pressure, reflecting the energy difference between the mixture and the pure components due to interactions between them.
enthalpy of mixing;DESCRIBES;the heat change when two or more substances are mixed at constant pressure, reflecting the energy difference between the mixture and the pure components due to interactions between them.
enthalpy of reaction;DESCRIBES;the heat change in a chemical reaction at constant pressure, equal to the difference between the enthalpies of the products and reactants. It indicates whether the reaction is exothermic (releases heat) or endothermic (absorbs heat).
enthalpy of vaporization;DESCRIBES;the amount of energy required to transform a given quantity of a substance from a liquid into a gas at constant pressure, often measured at the substance's boiling point. It reflects the strength of intermolecular forces in the liquid phase.
enthalpy-entropy balance;DESCRIBES;a thermodynamic concept describing the trade-off between enthalpy (heat content) and entropy (disorder) in a system, determining the spontaneity and equilibrium of chemical reactions and phase transitions.
entropic gain;DESCRIBES;an increase in the entropy of a system, often resulting from processes like mixing, dissolution, or conformational changes, which can drive spontaneous reactions or phase transitions by maximizing disorder.
a thermodynamic quantity representing the unavailability of a system's thermal energy for conversion into mechanical work, often interpreted as the degree of disorder or randomness in the system. it;IS_A;central concept in the second law of thermodynamics.
entropy;DESCRIBES;a thermodynamic quantity representing the unavailability of a system's thermal energy for conversion into mechanical work, often interpreted as the degree of disorder or randomness in the system. It is a central concept in the second law of thermodynamics.
a fundamental principle in thermodynamics stating that the entropy of a perfect crystal at absolute zero temperature is exactly zero, as all atoms;IS_A;in their lowest energy state and perfectly ordered, leaving no uncertainty in the system's configuration.
entropy at absolute zero;DESCRIBES;a fundamental principle in thermodynamics stating that the entropy of a perfect crystal at absolute zero temperature is exactly zero, as all atoms are in their lowest energy state and perfectly ordered, leaving no uncertainty in the system's configuration.
entropy change;DESCRIBES;a measure of the change in disorder or randomness in a thermodynamic system during a process, calculated as the difference in entropy between the final and initial states, often denoted as ΔS = S_final - S_initial.
entropy change for an ideal gas;DESCRIBES;the change in entropy of an ideal gas during a thermodynamic process, calculated using the formula ΔS = nRln(V2/V1) + nCvln(T2/T1), where n is the number of moles, R is the gas constant, V is volume, Cv is heat capacity at constant volume, and T is temperature.
the change in entropy that;OCCURS_WHEN;when a substance undergoes a phase transition, such as melting, vaporization, or sublimation, reflecting the increased disorder of the system as it absorbs heat.
entropy change in phase transitions;DESCRIBES;the change in entropy that occurs when a substance undergoes a phase transition, such as melting, vaporization, or sublimation, reflecting the increased disorder of the system as it absorbs heat.
entropy change of surroundings;DESCRIBES;the change in entropy of the environment due to heat transfer with a system, often calculated as ΔS_surroundings = -ΔH_system/T, where ΔH_system is the enthalpy change of the system and T is the temperature.
entropy change of the universe;DESCRIBES;a measure of the total change in entropy of both the system and its surroundings during a thermodynamic process, reflecting the irreversibility of natural processes and the second law of thermodynamics, which states that the entropy of an isolated system always increases over time.
entropy convention;DESCRIBES;a standard reference state (e.g., 0 K or 1 bar) used to define absolute entropy values in thermodynamics, ensuring consistency in calculations.
entropy flux;DESCRIBES;the rate of entropy transfer per unit area, typically associated with heat transfer or mass flow in thermodynamic systems, indicating the direction and magnitude of entropy change across boundaries.
entropy increase;DESCRIBES;a measure of the increase in disorder or randomness in a thermodynamic system, often associated with the second law of thermodynamics, which states that the total entropy of an isolated system can never decrease over time.
entropy of activation;DESCRIBES;the change in entropy when a system transitions from reactants to the activated complex in a chemical reaction, reflecting molecular disorder at the transition state.
entropy of an ideal gas;DESCRIBES;a thermodynamic quantity representing the disorder or randomness of an ideal gas system, calculated using the Sackur-Tetrode equation, which accounts for the number of particles, volume, and temperature of the gas.
entropy of dissolution;DESCRIBES;the change in entropy when a solute dissolves in a solvent, reflecting the disorder increase due to mixing and solvation.
entropy of expansion;DESCRIBES;the increase in entropy when a gas expands into a larger volume at constant temperature, reflecting the greater number of accessible microstates.
entropy of heating;DESCRIBES;the change in entropy of a system as it absorbs heat, calculated by integrating the heat capacity over temperature.
entropy of phase transition;DESCRIBES;the change in entropy when a substance undergoes a phase transition, such as melting or vaporization, at constant temperature and pressure.
entropy production;DESCRIBES;a measure of the irreversible processes within a thermodynamic system, representing the increase in entropy due to dissipative effects like heat transfer, friction, or chemical reactions, as described by the second law of thermodynamics.
entropy production rate;DESCRIBES;a measure of the rate at which entropy is generated in a thermodynamic system due to irreversible processes, such as heat transfer, chemical reactions, and viscous dissipation. It quantifies the system's departure from equilibrium and is central to nonequilibrium thermodynamics.
environmental degradation rates;DESCRIBES;the speed at which pollutants or natural substances break down in the environment, influenced by factors like temperature, microbial activity, and chemical composition, crucial for assessing ecological impact and pollution persistence.
enzyme;DESCRIBES;a protein that acts as a biological catalyst to speed up chemical reactions without being consumed in the process.
enzyme activity;DESCRIBES;the catalytic effect of an enzyme, measured by the rate of the reaction it catalyzes under specific conditions, often expressed in units such as micromoles of substrate transformed per minute per milligram of enzyme.
enzyme kinetics;DESCRIBES;the study of the rates of enzyme-catalyzed reactions, involving analysis of substrate concentration effects, inhibitor interactions, and enzyme mechanisms to understand biocatalytic efficiency and regulation.
enzyme-substrate complex;DESCRIBES;a temporary intermediate formed when an enzyme binds to its substrate(s) during a biochemical reaction, facilitating the conversion of the substrate into the product by lowering the activation energy required for the reaction to proceed.
Eötvös rule;DESCRIBES;an empirical rule stating that the temperature dependence of the surface tension of most liquids is linear, decreasing with increasing temperature.
epr;DESCRIBES;a spectroscopic technique that detects species with unpaired electrons by measuring their absorption of microwave radiation in a magnetic field.
epr spectrometer;DESCRIBES;a device used to study materials with unpaired electrons by detecting their absorption of microwave radiation in a magnetic field, based on electron paramagnetic resonance (EPR) principles.
equation;DESCRIBES;a mathematical statement that asserts the equality of two expressions, typically involving variables and constants, used to describe relationships or solve problems.
equation of state;DESCRIBES;a mathematical relationship describing the state of a physical system in terms of variables like pressure, volume, and temperature.
the process by which a system reaches a state of equilibrium, where the rates of forward and reverse reactions;IS_A;equal, and the concentrations of reactants and products remain constant over time.
equilibration;DESCRIBES;the process by which a system reaches a state of equilibrium, where the rates of forward and reverse reactions are equal, and the concentrations of reactants and products remain constant over time.
states in chemical reactions where forward and reverse reaction rates;IS_A;equal, resulting in constant concentrations of reactants and products.
equilibria;DESCRIBES;states in chemical reactions where forward and reverse reaction rates are equal, resulting in constant concentrations of reactants and products.
a state in which opposing forces or influences are balanced, resulting in no net change in the system. in chemistry, it refers to the condition where the rates of the forward and reverse reactions;IS_A;equal, and the concentrations of reactants and products remain constant over time.
equilibrium;DESCRIBES;a state in which opposing forces or influences are balanced, resulting in no net change in the system. In chemistry, it refers to the condition where the rates of the forward and reverse reactions are equal, and the concentrations of reactants and products remain constant over time.
equilibrium bond length;DESCRIBES;the average distance between the nuclei of two bonded atoms at which the potential energy is minimized, representing the most stable configuration of the bond.
a state in a chemical system where the rates of the forward and reverse reactions;IS_A;equal, resulting in no net change in the concentrations of reactants and products over time.
equilibrium condition;DESCRIBES;a state in a chemical system where the rates of the forward and reverse reactions are equal, resulting in no net change in the concentrations of reactants and products over time.
equilibrium constant;DESCRIBES;a ratio quantifying the concentrations of products/reactants at equilibrium, reflecting reaction favorability under given conditions.
equilibrium constant (k);DESCRIBES;a dimensionless quantity that expresses the ratio of the concentrations of products to reactants at equilibrium, each raised to the power of their stoichiometric coefficients. It indicates the extent of a chemical reaction at equilibrium and is temperature-dependent.
equilibrium free energy differences;DESCRIBES;the difference in free energy between two equilibrium states of a system, often used to predict the direction of spontaneous processes and the stability of different states under constant temperature and pressure conditions.
equilibrium potential;DESCRIBES;the electric potential difference across a membrane when the net flow of a specific ion is zero, determined by the Nernst equation, which relates ion concentration gradients to potential.
a state in which the forward and reverse reactions occur at the same rate, resulting in no net change in the concentrations of reactants and products over time. it;IS_A;dynamic condition where the system's properties remain constant.
equilibrium state;DESCRIBES;a state in which the forward and reverse reactions occur at the same rate, resulting in no net change in the concentrations of reactants and products over time. It is a dynamic condition where the system's properties remain constant.
equipartition;DESCRIBES;a principle in statistical mechanics stating that energy is equally distributed among all degrees of freedom in a system at thermal equilibrium.
equipartition theorem;DESCRIBES;a principle in statistical mechanics stating that energy is equally distributed among all degrees of freedom in a system at thermal equilibrium, with each quadratic term in the energy contributing 1/2 kT to the average energy, where k is the Boltzmann constant and T is the temperature.
equipartition value;DESCRIBES;the principle that energy is equally distributed among all degrees of freedom in a system at thermal equilibrium, each contributing 1/2 kT per mode, where k is Boltzmann's constant and T is temperature.
the principle that heat and work;IS_A;interchangeable forms of energy, quantified by the mechanical equivalent of heat.
equivalence of heat and work;DESCRIBES;the principle that heat and work are interchangeable forms of energy, quantified by the mechanical equivalent of heat.
equivalent nuclei;DESCRIBES;nuclei in a molecule that have identical chemical environments, resulting in the same NMR chemical shift and magnetic equivalence.
er mechanism;DESCRIBES;a type of reaction mechanism in physical chemistry where electron transfer occurs between reactants, often involving radicals or ions.
Eshelby's tensor;DESCRIBES;a fourth-rank tensor describing the stress and strain fields induced by an ellipsoidal inclusion in an elastic material.
ESR;DESCRIBES;a spectroscopic technique used to observe the absorption of microwave radiation by unpaired electrons in a magnetic field, revealing information about molecular structure and dynamics.
essential symmetries;DESCRIBES;fundamental symmetries in physical systems that dictate conserved quantities and invariance under transformations, crucial in quantum mechanics and field theory.
ethanoic acid dimer;DESCRIBES;a stable molecular structure formed by two ethanoic (acetic) acid molecules linked through hydrogen bonds, often observed in non-polar solvents or the gas phase.
ethanol;DESCRIBES;a volatile, flammable, colorless liquid alcohol (C2H5OH) produced by fermentation of sugars, used as a solvent, fuel, and in alcoholic beverages.
ethene;DESCRIBES;a colorless flammable gas with the formula C2H4, the simplest alkene, used in the production of polyethylene and other chemicals.
Euler chain relation;DESCRIBES;A mathematical relation in thermodynamics expressing partial derivatives of three interdependent variables in a cyclic manner, derived from the chain rule of differentiation.
Euler's formula;DESCRIBES;a mathematical formula in complex analysis that establishes the fundamental relationship between trigonometric functions and the complex exponential function: e^(ix) = cos(x) + i*sin(x).
Euler's number;DESCRIBES;a fundamental mathematical constant, approximately equal to 2.71828, which is the base of the natural logarithm and arises in various areas of mathematics, including calculus and complex analysis.
eutectic;DESCRIBES;a mixture of substances with the lowest melting point, where the components solidify simultaneously from a liquid solution.
eutectic composition;DESCRIBES;the specific composition of a mixture that melts or solidifies at a single temperature, lower than any other composition of the same components.
evans-searles fluctuation theorem;DESCRIBES;a fundamental result in nonequilibrium statistical mechanics that relates the probability of observing a time-averaged entropy production in a system to the probability of observing the reverse process, providing a quantitative connection between microscopic reversibility and macroscopic irreversibility.
exact differential;DESCRIBES;a differential form dF that is the total differential of some function F, meaning it can be integrated path-independently.
excess enthalpy;DESCRIBES;the difference between the actual enthalpy of a mixture and the enthalpy it would have if it were an ideal solution, reflecting non-ideal interactions between components.
excess function;DESCRIBES;a thermodynamic function representing the difference between the actual property of a mixture and its ideal value, accounting for non-ideal behavior.
excess gibbs free energy;DESCRIBES;the difference between the actual Gibbs free energy of a mixture and the Gibbs free energy of an ideal solution at the same composition, temperature, and pressure, reflecting non-ideal behavior due to molecular interactions.
thermodynamic properties that represent the deviation of a real mixture's behavior from an ideal solution, calculated as the difference between the actual property and the value predicted by ideal mixing rules. these quantities;IS_A;crucial for understanding non-ideal behavior in solutions.
excess quantities;DESCRIBES;Thermodynamic properties that represent the deviation of a real mixture's behavior from an ideal solution, calculated as the difference between the actual property and the value predicted by ideal mixing rules. These quantities are crucial for understanding non-ideal behavior in solutions.
the current density at equilibrium in an electrochemical reaction, where forward and reverse reaction rates;IS_A;equal, indicating intrinsic electrode activity.
exchange-current density;DESCRIBES;the current density at equilibrium in an electrochemical reaction, where forward and reverse reaction rates are equal, indicating intrinsic electrode activity.
the process where an excited molecule;PRODUCES;a temporary dimer with a ground-state molecule, emitting light upon dissociation.
excimer formation;DESCRIBES;the process where an excited molecule forms a temporary dimer with a ground-state molecule, emitting light upon dissociation.
excitation;DESCRIBES;the process by which an atom, molecule, or system absorbs energy and transitions from a lower to a higher energy state, often leading to emission of radiation or other physical changes.
excited state absorption;DESCRIBES;absorption of light by a molecule already in an excited electronic state, leading to higher energy transitions.
excited state dynamics;DESCRIBES;the study of the time-dependent behavior and processes of molecules or atoms in their excited electronic states, including energy transfer, relaxation, and chemical reactions.
quantum states of a system with higher energy than the ground state, typically achieved by absorbing energy, such as photons, leading to electron transitions. these states;IS_A;unstable and tend to return to the ground state via emission or non-radiative processes.
excited states;DESCRIBES;quantum states of a system with higher energy than the ground state, typically achieved by absorbing energy, such as photons, leading to electron transitions. These states are unstable and tend to return to the ground state via emission or non-radiative processes.
exciton;DESCRIBES;a bound state of an electron and an electron hole in a solid, acting as a quasiparticle that transports energy without net charge.
excluded volume;DESCRIBES;the volume occupied by molecules in a system that is inaccessible to other molecules due to steric repulsion, influencing the behavior of polymers, colloids, and other condensed matter systems.
exclusion;DESCRIBES;the process or state of preventing or restricting access to a particular area, group, or resource, often due to size, charge, or other molecular properties.
exclusion rule;DESCRIBES;a principle in quantum mechanics stating that no two identical fermions can occupy the same quantum state simultaneously, as per the Pauli exclusion principle.
a process in which the enthalpy of the system remains constant, typically occurring under specific conditions where heat transfer and work;IS_A;balanced.
exenthalpic process;DESCRIBES;a process in which the enthalpy of the system remains constant, typically occurring under specific conditions where heat transfer and work are balanced.
a chemical reaction that releases energy, typically in the form of heat, light, or electricity, and;HAS_PROPERTY;a negative gibbs free energy change (δg < 0), indicating spontaneity under constant temperature and pressure conditions.
exergonic reaction;DESCRIBES;a chemical reaction that releases energy, typically in the form of heat, light, or electricity, and has a negative Gibbs free energy change (ΔG < 0), indicating spontaneity under constant temperature and pressure conditions.
exothermic process;DESCRIBES;a chemical reaction or physical change that releases heat energy into its surroundings, often indicated by a temperature increase.
exothermic reaction;DESCRIBES;a chemical reaction that releases energy in the form of heat, often increasing the temperature of the surroundings.
chemical reactions that release energy in the form of heat, light, or sound, resulting in a negative change in enthalpy (δh < 0). these reactions often feel warm and;IS_A;common in combustion, respiration, and many industrial processes.
exothermic reactions;DESCRIBES;chemical reactions that release energy in the form of heat, light, or sound, resulting in a negative change in enthalpy (ΔH < 0). These reactions often feel warm and are common in combustion, respiration, and many industrial processes.
exp-6 potential energy;DESCRIBES;a mathematical model describing intermolecular interactions, combining exponential repulsion and r^-6 attraction terms, often used in molecular simulations.
expanded octet;DESCRIBES;a phenomenon where certain elements can have more than eight valence electrons in their outer shell, typically observed in period 3 and beyond due to available d-orbitals.
expansion;DESCRIBES;the increase in volume or length of a substance due to temperature rise or other physical changes.
expansion coefficient;DESCRIBES;a measure of how much a material expands or contracts per unit change in temperature, typically expressed in units of K⁻¹.
expansion work;DESCRIBES;work done by a system when it expands against an external pressure, calculated as W = -PΔV, where P is pressure and ΔV is volume change.
a mathematical function of the form f(x) = a^x, where 'a';IS_A;positive constant base and 'x' is the exponent, describing rapid growth or decay.
exponential function;DESCRIBES;a mathematical function of the form f(x) = a^x, where 'a' is a positive constant base and 'x' is the exponent, describing rapid growth or decay.
a molecular structure where the atoms;IS_A;arranged in a straight or nearly straight line, maximizing the distance between non-adjacent atoms, often observed in polymer chains or proteins.
extended conformation;DESCRIBES;a molecular structure where the atoms are arranged in a straight or nearly straight line, maximizing the distance between non-adjacent atoms, often observed in polymer chains or proteins.
extended Debye–Hückel law;DESCRIBES;a modification of the Debye–Hückel theory that accounts for the finite size of ions in solution, improving the description of activity coefficients at higher concentrations.
extension;DESCRIBES;the action of increasing the length or volume of a material under tension, often measured in physical chemistry to study material properties.
extensive property;DESCRIBES;a physical quantity whose value is proportional to the size of the system it describes, such as mass, volume, or energy. It depends on the amount of substance present and is additive for subsystems.
extent of reaction;DESCRIBES;a measure of the progress of a chemical reaction, defined as the amount of reactant converted per unit stoichiometric coefficient.
extinction;DESCRIBES;the attenuation of light as it passes through a medium due to absorption and scattering, often quantified in spectroscopy.
extinction coefficient;DESCRIBES;a measure of how strongly a substance absorbs light at a specific wavelength, often used in the Beer-Lambert law to determine concentration.
extrinsic semiconductor;DESCRIBES;a semiconductor doped with impurities to modify its electrical properties, increasing conductivity by adding donor or acceptor atoms.
a theory in chemical kinetics that;DESCRIBES;reaction rates using statistical mechanics, introducing the concept of the transition state and activation energy.
Eyring;DESCRIBES;a theory in chemical kinetics that describes reaction rates using statistical mechanics, introducing the concept of the transition state and activation energy.
Eyring equation;DESCRIBES;A formula in chemical kinetics that relates reaction rate to temperature, based on transition state theory, expressed as k = (k_B*T/h)*exp(-ΔG‡/RT).
an equation in chemical kinetics that;DESCRIBES;the rate of a chemical reaction based on transition state theory, incorporating thermodynamic and activation parameters.
Eyring-Polanyi equation;DESCRIBES;an equation in chemical kinetics that describes the rate of a chemical reaction based on transition state theory, incorporating thermodynamic and activation parameters.
