en_term;en_definition;ru_term;ru_definition
absorption coefficient;a measure of how much light or other radiation is absorbed by a material per unit distance, typically expressed in units of inverse length (e.g., cm⁻¹). It quantifies the attenuation of the intensity of electromagnetic waves as they pass through a medium.;коэффициент поглощения;мера того, сколько света или другого излучения поглощается материалом на единицу расстояния, обычно выражается в единицах обратной длины (например, см⁻¹). Количественно характеризует ослабление интенсивности электромагнитных волн при прохождении через среду.
absorption intensity;the measure of the amount of light absorbed by a substance at a specific wavelength, often used to determine concentration in spectroscopy.;интенсивность поглощения;мера количества света, поглощаемого веществом на определённой длине волны, часто используемая для определения концентрации в спектроскопии.
absorption spectra;graphs showing the amount of light absorbed by a substance at different wavelengths, used to identify and quantify materials by their unique absorption patterns.;спектры поглощения;графики, показывающие количество света, поглощаемого веществом на разных длинах волн, используемые для идентификации и количественного анализа материалов по их уникальным спектрам поглощения.
absorption spectroscopy;a technique that measures the absorption of electromagnetic radiation by a substance as a function of wavelength, used to identify and quantify chemical species.;абсорбционная спектроскопия;метод, измеряющий поглощение электромагнитного излучения веществом в зависимости от длины волны, используемый для идентификации и количественного определения химических соединений.
absorption spectrum;a graph showing the amount of light absorbed by a substance at different wavelengths, used to identify and study the electronic and molecular structure of materials.;спектр поглощения;график, показывающий количество света, поглощаемого веществом на разных длинах волн, используемый для изучения электронной и молекулярной структуры материалов.
abstraction;the process of simplifying complex systems by focusing on the main features while ignoring less relevant details, often used in modeling and theoretical frameworks.;абстракция;процесс упрощения сложных систем путем концентрации на основных характеристиках и игнорирования менее значимых деталей, часто используемый в моделировании и теоретических подходах.
abundant-spin species;a nuclear spin state with higher population in NMR, typically the lower-energy state in a magnetic field, leading to net magnetization.;избыточный спиновый вид;ядерное спиновое состояние с большей населённостью в ЯМР, обычно состояние с меньшей энергией в магнитном поле, создающее чистую намагниченность.
accelerated molecular dynamics;a computational method that enhances the sampling of molecular configurations by applying bias potentials to accelerate rare events, enabling the study of long-timescale processes in molecular simulations.;ускоренная молекулярная динамика;вычислительный метод, улучшающий выборку молекулярных конфигураций путём применения смещающих потенциалов для ускорения редких событий, что позволяет изучать долговременные процессы в молекулярном моделировании.
acceleration;the rate of change of velocity of an object with respect to time, a vector quantity with both magnitude and direction.;ускорение;скорость изменения скорости объекта относительно времени, векторная величина, имеющая как величину, так и направление.
acceleration of free fall;the acceleration of an object in free fall under the influence of gravity alone, approximately 9.81 m/s² near Earth's surface.;ускорение свободного падения;ускорение объекта в свободном падении под действием только силы тяжести, примерно 9,81 м/с² у поверхности Земли.
acceptable;"meeting the minimum requirements or standards; satisfactory or adequate in quality.";приемлемый;"соответствующий минимальным требованиям или стандартам; удовлетворительный или достаточный по качеству."
acceptable wavefunction;a wavefunction in quantum mechanics that is continuous, single-valued, square-integrable, and satisfies the Schrödinger equation.;допустимая волновая функция;волновая функция в квантовой механике, которая является непрерывной, однозначной, квадратично-интегрируемой и удовлетворяет уравнению Шрёдингера.
acceptor level;an energy level in a semiconductor that can accept electrons from the valence band, creating holes and increasing conductivity.;акцепторный уровень;энергетический уровень в полупроводнике, способный принимать электроны из валентной зоны, создавая дырки и увеличивая проводимость.
accommodation;the process by which the eye changes optical power to maintain clear focus on an object as its distance varies.;аккомодация;процесс изменения оптической силы глаза для сохранения четкого фокуса на объекте при изменении его расстояния.
acetic acid;a colorless organic acid with the formula CH3COOH, the main component of vinegar, used as a solvent and in chemical synthesis.;уксусная кислота;бесцветная органическая кислота с формулой CH3COOH, основной компонент уксуса, используемая как растворитель и в химическом синтезе.
acetylene;a colorless, highly flammable gas with the chemical formula C2H2, used as a fuel and a chemical building block. It is the simplest alkyne and burns with a very hot flame, making it useful in welding and cutting metals.;ацетилен;бесцветный, легковоспламеняющийся газ с химической формулой C2H2, используемый как топливо и химический строительный блок. Это простейший алкин, который горит очень горячим пламенем, что делает его полезным при сварке и резке металлов.
acid-base equilibria;the dynamic balance between acids and bases in a solution, governed by proton transfer reactions, where the concentrations of reactants and products remain constant over time, described by equilibrium constants like Ka and Kb.;кислотно-основные равновесия;динамический баланс между кислотами и основаниями в растворе, определяемый реакциями переноса протонов, при котором концентрации реагентов и продуктов остаются постоянными, описываемый константами равновесия Ka и Kb.
acquisitive convention;a principle or agreement in physical chemistry where a system acquires properties or components from its surroundings under specific conditions.;приобретательная конвенция;принцип или соглашение в физической химии, согласно которому система приобретает свойства или компоненты из окружающей среды при определённых условиях.
actinoid (actinide);a series of 15 metallic elements from actinium to lawrencium in the periodic table, characterized by filling of the 5f electron shell.;актиноид;серия из 15 металлических элементов от актиния до лоуренсия в периодической таблице, характеризующаяся заполнением 5f-электронной оболочки.
activated complex;a transient, high-energy intermediate state formed during a chemical reaction, representing the highest potential energy point along the reaction pathway.;активированный комплекс;временное, высокоэнергетическое промежуточное состояние, образующееся в ходе химической реакции и представляющее точку с максимальной потенциальной энергией на пути реакции.
activated complex theory;a theory explaining reaction rates by considering an intermediate transition state (activated complex) formed during the conversion of reactants to products.;теория активированного комплекса;теория, объясняющая скорости реакций через промежуточное переходное состояние (активированный комплекс), образующееся при превращении реагентов в продукты.
activation energy;the minimum energy required for a chemical reaction to occur, often represented as Ea in the Arrhenius equation.;энергия активации;минимальная энергия, необходимая для протекания химической реакции, часто обозначаемая как Ea в уравнении Аррениуса.
activation enthalpy;the minimum enthalpy required for a chemical reaction to occur, representing the energy barrier between reactants and products.;энтальпия активации;минимальная энтальпия, необходимая для протекания химической реакции, представляющая энергетический барьер между реагентами и продуктами.
activation gibbs energy;the Gibbs free energy difference between the transition state and the reactants in a chemical reaction, determining the reaction rate.;энергия Гиббса активации;разность энергий Гиббса между переходным состоянием и реагентами в химической реакции, определяющая скорость реакции.
activation-controlled limit;the regime in chemical kinetics where the reaction rate is determined by the activation energy barrier rather than diffusion or other transport processes.;активационно-контролируемый предел;режим в химической кинетике, при котором скорость реакции определяется энергетическим барьером активации, а не диффузией или другими транспортными процессами.
active site;the specific region of an enzyme where substrate molecules bind and undergo a chemical reaction, characterized by its unique three-dimensional structure and chemical properties.;активный центр;специфический участок фермента, где молекулы субстрата связываются и подвергаются химической реакции, характеризующийся уникальной трёхмерной структурой и химическими свойствами.
active sites;specific regions on the surface of a catalyst where reactant molecules adsorb and undergo chemical reactions due to their unique electronic and geometric properties.;активные центры;специфичные участки на поверхности катализатора, где молекулы реагентов адсорбируются и вступают в химические реакции благодаря своим уникальным электронным и геометрическим свойствам.
activity;a measure of the effective concentration of a species in a solution, accounting for deviations from ideal behavior due to interactions between particles.;активность;мера эффективной концентрации частиц в растворе, учитывающая отклонения от идеального поведения из-за взаимодействий между частицами.
activity coefficient;a factor that accounts for deviations from ideal behavior in solutions, quantifying how the effective concentration (activity) of a solute differs from its actual concentration due to interactions with other species.;коэффициент активности;фактор, учитывающий отклонения от идеального поведения в растворах, показывающий, как эффективная концентрация (активность) растворённого вещества отличается от его реальной концентрации из-за взаимодействий с другими частицами.
activity coefficients;dimensionless factors that account for deviations from ideal behavior in solutions, representing the effective concentration of a solute. They quantify how interactions between molecules affect the chemical potential in non-ideal systems.;коэффициенты активности;безразмерные коэффициенты, учитывающие отклонения от идеального поведения в растворах, представляющие эффективную концентрацию растворённого вещества. Они описывают влияние межмолекулярных взаимодействий на химический потенциал в неидеальных системах.
addition;a chemical reaction where two or more molecules combine to form a larger one, typically involving unsaturated compounds.;присоединение;химическая реакция, в которой две или более молекулы соединяются, образуя более крупную молекулу, обычно с участием ненасыщенных соединений.
addition polymerization;a polymerization process where unsaturated monomers link together without the loss of any atoms, typically initiated by free radicals, ions, or catalysts, forming long polymer chains with no byproducts.;полимеризация по механизму присоединения;процесс полимеризации, при котором ненасыщенные мономеры соединяются без потери атомов, обычно инициируемый свободными радикалами, ионами или катализаторами, образуя длинные полимерные цепи без побочных продуктов.
additional work;extra work done by a system beyond the reversible work, often due to irreversible processes like friction or dissipation.;дополнительная работа;дополнительная работа, совершаемая системой сверх обратимой работы, часто обусловленная необратимыми процессами, такими как трение или диссипация.
adiabatic approximation;a simplification in quantum mechanics where the motion of atomic nuclei and electrons is treated separately, assuming electrons adjust instantaneously to nuclear positions, often used in the Born-Oppenheimer approximation to simplify molecular system calculations.;адиабатическое приближение;упрощение в квантовой механике, при котором движение ядер и электронов рассматривается раздельно, предполагая мгновенную адаптацию электронов к положению ядер, часто используемое в приближении Борна-Оппенгеймера.
adiabatic bomb calorimeter;A device measuring heat of combustion by igniting a sample in an oxygen-filled chamber surrounded by water, maintaining adiabatic conditions to prevent heat loss.;адиабатический бомбовый калориметр;Устройство, измеряющее теплоту сгорания путём воспламенения образца в камере, заполненной кислородом, окруженной водой, при адиабатических условиях для предотвращения потерь тепла.
adiabatic boundary;a boundary that prevents any heat transfer between a system and its surroundings, maintaining thermal isolation.;адиабатическая граница;граница, предотвращающая любой теплообмен между системой и окружающей средой, обеспечивая тепловую изоляцию.
adiabatic change;a process in which no heat is exchanged with the surroundings, typically occurring rapidly or in a thermally insulated system.;адиабатическое изменение;процесс, при котором не происходит обмена теплом с окружающей средой, обычно происходящий быстро или в термоизолированной системе.
adiabatic expansion;a thermodynamic process where a gas expands without heat transfer to or from its surroundings, causing temperature changes due to work done by the gas.;адиабатическое расширение;термодинамический процесс, при котором газ расширяется без теплообмена с окружающей средой, что приводит к изменению температуры из-за работы, совершаемой газом.
adiabatic flame calorimeter;A device measuring heat of combustion by burning a sample in an oxygen-rich environment under nearly adiabatic conditions, preventing heat loss.;адиабатический калориметр с пламенем;Прибор для измерения теплоты сгорания, в котором образец сжигается в кислородной среде в практически адиабатических условиях, предотвращающих потерю тепла.
adiabatic process;a thermodynamic process in which no heat is transferred to or from the system, resulting in changes in temperature and pressure due solely to work done on or by the system.;адиабатический процесс;термодинамический процесс, при котором не происходит теплообмена с окружающей средой, а изменение температуры и давления обусловлено только работой, совершаемой системой или над ней.
adsorbate;a substance that accumulates on the surface of a solid or liquid (adsorbent), forming a thin film through the process of adsorption, which involves intermolecular forces.;адсорбат;вещество, которое накапливается на поверхности твёрдого тела или жидкости (адсорбента), образуя тонкую плёнку в процессе адсорбции, связанной с межмолекулярными силами.
adsorption;the adhesion of atoms, ions, or molecules from a gas, liquid, or dissolved solid to a surface, creating a thin film.;адсорбция;прилипание атомов, ионов или молекул из газа, жидкости или растворённого твёрдого вещества к поверхности с образованием тонкого слоя.
adsorption constant;a measure of the extent to which a substance is adsorbed onto a surface at equilibrium, defined as the ratio of the adsorbed concentration to the concentration in the surrounding phase at a given temperature.;константа адсорбции;мера степени адсорбции вещества на поверхности в равновесии, определяемая как отношение адсорбированной концентрации к концентрации в окружающей фазе при заданной температуре.
adsorption isotherms;Graphs showing the relationship between the amount of adsorbate on the surface of an adsorbent and its pressure or concentration at constant temperature, used to study surface properties and interactions.;изотермы адсорбции;Графики, показывающие зависимость количества адсорбата на поверхности адсорбента от его давления или концентрации при постоянной температуре, используемые для изучения поверхностных свойств и взаимодействий.
adsorption-desorption equilibrium;the state where the rates of adsorption and desorption of molecules on a surface are equal, resulting in a dynamic balance between molecules attaching to and detaching from the surface. This equilibrium determines the surface concentration of adsorbed species under given conditions.;равновесие адсорбции-десорбции;состояние, при котором скорости адсорбции и десорбции молекул на поверхности равны, создавая динамический баланс между присоединением и отрывом молекул. Равновесие определяет поверхностную концентрацию адсорбированных веществ при данных условиях.
aedans;a fluorescent dye used as a molecular probe in biochemistry and biophysics for studying protein interactions and conformational changes.;аеданс;флуоресцентный краситель, используемый в качестве молекулярного зонда в биохимии и биофизике для изучения взаимодействий белков и конформационных изменений.
aerosol;a suspension of fine solid particles or liquid droplets in air or another gas.;аэрозоль;взвесь мелких твёрдых частиц или капель жидкости в воздухе или другом газе.
aes;Atomic Emission Spectroscopy, a technique that analyzes the light emitted by excited atoms to determine elemental composition.;АЭС;Атомно-эмиссионная спектроскопия, метод анализа света, излучаемого возбуждёнными атомами, для определения элементного состава.
afm;a high-resolution imaging technique where a sharp probe scans a surface to map its topography at the atomic level, using mechanical forces.;атомно-силовая микроскопия;высокочувствительный метод микроскопии, применяемый для исследования поверхностей с атомарным разрешением с помощью механического зонда.
aggregation equilibrium;a dynamic balance in a system where the rate of particle aggregation equals the rate of disaggregation, maintaining a stable distribution of particle sizes.;равновесие агрегации;динамическое равновесие в системе, при котором скорость агрегации частиц равна скорости их дезагрегации, что поддерживает стабильное распределение размеров частиц.
alanine;a non-essential amino acid, C3H7NO2, involved in protein synthesis and glucose metabolism, commonly found in proteins.;аланин;незаменимая аминокислота, C3H7NO2, участвующая в синтезе белков и метаболизме глюкозы, часто встречающаяся в белках.
albert einstein;a theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics, alongside quantum mechanics. He is best known for his mass-energy equivalence formula E = mc², which has been dubbed 'the world's most famous equation'.;Альберт Эйнштейн;теоретический физик, разработавший теорию относительности, одну из основ современной физики. Наиболее известен благодаря формуле эквивалентности массы и энергии E = mc².
alkaline battery;a type of primary battery that derives its energy from the reaction between zinc and manganese dioxide, with an alkaline electrolyte of potassium hydroxide. It provides higher energy density and longer shelf life compared to zinc-carbon batteries.;щелочная батарейка;тип первичного источника тока, в котором энергия вырабатывается в реакции цинка с диоксидом марганца в щелочном электролите (гидроксид калия). Обладает большей энергоёмкостью и сроком хранения по сравнению с солевыми батарейками.
allosteric regulation;the regulation of an enzyme or protein by binding an effector molecule at a site other than the active site, resulting in a conformational change that alters its activity.;аллостерическая регуляция;регуляция активности фермента или белка путём связывания эффекторной молекулы вне активного центра, что вызывает конформационные изменения и изменяет его активность.
allotrope;different structural forms of the same element in the same physical state, differing in atomic arrangement or molecular structure.;аллотропная модификация;различные структурные формы одного и того же элемента в одном и том же физическом состоянии, отличающиеся атомным расположением или молекулярной структурой.
allowed transition;a quantum transition between states that is permitted by selection rules, typically involving a change in dipole moment.;разрешённый переход;квантовый переход между состояниями, разрешённый правилами отбора, обычно связанный с изменением дипольного момента.
alloys;a metallic substance composed of two or more elements, either compound or solid solution, with properties often superior to pure metals, widely used in engineering and industry.;сплавы;металлический материал, состоящий из двух или более элементов, образующих соединение или твёрдый раствор, с улучшенными свойствами, широко применяемый в технике и промышленности.
amber;amber is a fossilized tree resin that has been appreciated for its color and beauty since prehistoric times. It is used in jewelry and ornaments, and often contains preserved prehistoric insects or plant material.;янтарь;это ископаемая смола деревьев, ценимая за цвет и красоту с древних времен. Используется в ювелирных изделиях и часто содержит включения древних насекомых или растений.
ammonia;a colorless gas with a pungent smell, composed of nitrogen and hydrogen (NH), widely used in fertilizers, cleaning products, and industrial applications. It is also a key intermediate in the nitrogen cycle and is produced naturally by decomposing organic matter.;аммиак;бесцветный газ с резким запахом, состоящий из азота и водорода (NH), широко используемый в удобрениях, чистящих средствах и промышленности. Также является ключевым промежуточным продуктом в круговороте азота и образуется при разложении органики.
amount of substance;a physical quantity that measures the number of elementary entities (e.g., atoms, molecules) in a sample, expressed in moles.;количество вещества;физическая величина, измеряющая количество элементарных частиц (например, атомов, молекул) в образце, выражаемая в молях.
ampere;the SI base unit of electric current, defined as the constant current that produces a force of 2×10⁻⁷ newtons per meter between two parallel conductors of infinite length and negligible cross-section placed one meter apart in a vacuum.;ампер;основная единица силы электрического тока в СИ, определяемая как постоянный ток, который создаёт силу 2×10⁻⁷ ньютонов на метр между двумя параллельными проводниками бесконечной длины и ничтожно малого сечения, расположенными на расстоянии одного метра в вакууме.
amphipathic;a molecule having both hydrophilic (water-attracting) and hydrophobic (water-repelling) regions, often found in lipids and surfactants.;амфипатический;молекула, имеющая как гидрофильные (притягивающие воду), так и гидрофобные (отталкивающие воду) участки, часто встречается в липидах и поверхностно-активных веществах.
angstrom;a unit of length equal to 10^-10 meters, primarily used to express atomic and molecular scales.;ангстрем;единица длины, равная 10^-10 метра, используемая преимущественно для описания атомных и молекулярных масштабов.
angular;relating to or measured by an angle or angles, often used in physics to describe rotational motion or directional properties.;угловой;относящийся к измерению углов или связанный с ними, часто используется в физике для описания вращательного движения или направленных свойств.
angular frequency;a scalar measure of rotation rate, defined as the rate of change of the phase of a sinusoidal waveform, or as the rate of change of the angle in circular motion. It is related to frequency by the equation ω = 2πf, where f is the frequency.;угловая частота;скалярная мера скорости вращения, определяемая как скорость изменения фазы синусоидальной волны или угла при круговом движении. Связана с частотой уравнением ω = 2πf, где f — частота.
angular momentum;a vector quantity representing the rotational inertia and velocity of a body around a point or axis, conserved in isolated systems.;момент импульса;векторная величина, характеризующая вращательное движение тела вокруг точки или оси, сохраняющаяся в замкнутых системах.
angular momentum components;projections of the angular momentum vector along specific axes, often quantized in quantum systems and crucial for describing rotational motion.;компоненты момента импульса;проекции вектора момента импульса на определённые оси, часто квантуемые в квантовых системах и важные для описания вращательного движения.
angular momentum operators;quantum mechanical operators representing the angular momentum of a system, obeying specific commutation relations and used in describing rotational states.;операторы углового момента;квантовомеханические операторы, представляющие угловой момент системы, подчиняющиеся определённым коммутационным соотношениям и используемые для описания вращательных состояний.
angular momentum quantization;the phenomenon in quantum mechanics where the angular momentum of a particle or system is restricted to discrete values, determined by its quantum state.;квантование момента импульса;явление в квантовой механике, при котором момент импульса частицы или системы принимает дискретные значения, определяемые её квантовым состоянием.
angular momentum quantum number;a quantum number that determines the shape of an electron's orbital, representing the orbital angular momentum and ranging from 0 to n-1 for a given principal quantum number n.;орбитальное квантовое число;квантовое число, определяющее форму орбитали электрона, представляющее орбитальный момент импульса и принимающее значения от 0 до n-1 для данного главного квантового числа n.
angular velocity;a vector quantity representing the rate of rotation of an object around an axis, measured in radians per second (rad/s).;угловая скорость;векторная величина, характеризующая скорость вращения объекта вокруг оси, измеряемая в радианах в секунду (рад/с).
angular wavefunction;a mathematical function describing the angular dependence of a quantum system's wavefunction, often used in solving the Schrödinger equation for atoms.;угловая волновая функция;математическая функция, описывающая угловую зависимость волновой функции квантовой системы, часто используемая при решении уравнения Шрёдингера для атомов.
anharmonicity;the deviation of a system's behavior from that of a harmonic oscillator, where the restoring force is not proportional to the displacement. It is significant in molecular vibrations, affecting energy levels and spectra.;ангармоничность;отклонение поведения системы от гармонического осциллятора, когда восстанавливающая сила не пропорциональна смещению. Важно в молекулярных колебаниях, влияя на уровни энергии и спектры.
anharmonicity constant;a parameter quantifying the deviation of molecular vibrations from harmonic oscillator behavior, accounting for bond dissociation at high energies.;ангармоническая постоянная;параметр, характеризующий отклонение молекулярных колебаний от гармонического осциллятора, учитывающий разрыв связи при высоких энергиях.
anode;the electrode in an electrochemical cell where oxidation occurs, releasing electrons to the external circuit. It is the positive terminal in a galvanic cell and the negative terminal in an electrolytic cell.;анод;электрод в электрохимической ячейке, где происходит окисление, высвобождающее электроны во внешнюю цепь. В гальваническом элементе это положительный полюс, а в электролитическом — отрицательный.
anodic current density;the electric current per unit area of an anode surface, indicating the rate of oxidation reactions occurring at the anode in electrochemical processes.;анодная плотность тока;электрический ток на единицу площади поверхности анода, показывающий скорость окислительных реакций, происходящих на аноде в электрохимических процессах.
